동물원에 소는 없을껄여.	동물원에 소는 없을걸요.
어떻게 그럴 수가 있어요? 해도해도 너무하네요.	어떻게 그럴 수가 있어요? 해도 해도 너무하네요.
콘서트 가느라고 친구와의 약속도 잊어버렸어여.	콘서트 가느라고 친구와의 약속도 잊어버렸어요.
선생님이 책상위에다가 펜을 두었어요.	선생님이 책상 위에다가 펜을 두었어요.
수지는 공부하느라고 요즘 정말 바빠여.	수지는 공부하느라고 요즘 정말 바빠요.
다음 주가 남자 친구 생일인 주를 모르고 있었다.	다음 주가 남자 친구 생일인 줄을 모르고 있었다.
아직 연습중인데 보여달라니 보여주는데 흉보지는 마세여.	아직 연습 중인데 보여 달라니 보여주는데 흉보지는 마세요.
나는 물고기를 잡으러 바다에 가지 않았어여.	나는 물고기를 잡으러 바다에 가지 않았어요.
수업시간 졸거나 딴짓을 하는 학생들에게 우격다짐해보고 얼러도 보며 갖가지 방법을 써보았지만 아무 소용도 없었다.	수업시간 졸거나 딴짓을 하는 학생들에게 우격다짐해 보고 얼러도 보며 갖가지 방법을 써 봤지만 아무 소용이 없었다.
30분 정도 기다리니깐 주문한 피자가 왔어요.	30분 정도 기다리니까 주문한 피자가 왔어요.
이옷을 안 입어보겠다.	이 옷을 안 입어 보겠다.
제가 직접 이야기하게 영수씨 좀 바꿔 주세요.	제가 직접 이야기하게 영수 씨 좀 바꿔 주세요.
제가 남자친구를 화나게해서 남자친구가 먼저 가버렸어요.	제가 남자 친구를 화나게 해서 남자 친구가 먼저 가 버렸어요.
온천수를 발견한 업체측은 3월 초에 노천탕과 실내 목욕방 숯가마 찜질방을 갖춘 온천장을 개장하고 본격적인 영업에 들어갈 계획이다.	온천수를 발견한 업체측은 3월초에 노천탕과 실내목욕탕 숯가마 찜질방을 갖춘 온천장을 개장하고 본격적인 영업에 들어갈 계획이다.
저는 한국어를 잘하는 것 같아여.	저는 한국어를 잘하는 것 같아요.
줄리아씨는 학교를 졸업하고 고향에 돌아 갈 거예요.	줄리아 씨는 학교를 졸업하고 고향에 돌아갈 거예요.
식민지에 나가서 사업을 하던 회사가 망하면 소유주들은 자신의 투자액에 대해 부채청산의 의무를 졌다.	식민지에 나가서 사업을 하던 회사가 망하면 소유주들은 자신의 투자액에 대해 부채 청산의 의무를 졌다.
장관은 노사분규 사태를 조기에 진화하기 위해서 출장 일정을 취소하고 합대 관계자 회의를 소집했다.	장관은 노사분규 사태를 조기에 진화하기 위해서 출장일정을 취소하고 확대 관계자 회의를 소집했다.
저녁으로 스파게티를 만들까봐요.	저녁으로 스파게티를 만들까 봐요.
한국에서 식사할? 는 어른이 먼저 수저를 들어야지 먹을 수 있어요.	한국에서 식사할 때는 어른이 먼저 수저를 들어야지 먹을 수 있어요.
저는 1 시간 전 부터 차에 타고 있었어요.	저는 1시간 전부터 차에 타고 있었어요.
늦잠도 자고 머리도 아프고 해서 그냥 결석해 버렸써요.	늦잠도 자고 머리도 아프고 해서 그냥 결석해 버렸어요.
대규모 어휘정보 베이스를 구축함으로써 특정 언어이론이나 응용분야에 국한되지 않고 다방면으로 활용하려는 노력이 필요하다.	대규모 어휘 정보 베이스를 구축함으로써 특정 언어이론이나 응용분야에 국한되지 않고 다방면으로 활용하려는 노력이 필요하다.
우리 부녀회는 동사무사의 러브호텔 건립에 대해 아이들의 정서를 해치는 일을 그만하라고 진정서를 낼 예정이다.	우리 부녀회는 동사무소에 러브호텔 건립에 대해 아이들의 정서를 해치는 일을 그만두라고 진정서를 낼 예정이다.
우리는 이 발명품의 이름을 짓는데에 대해 자동차라는 이름을 붙이는 것으로 묘안이 떠올랐다.	우리는 이 발명품에 이름을 짓는 데 대해 자동차라는 이름을 붙이는 것으로 묘안이 떠올랐다.
소득입증서류를 제출하지 않은 고객은 좀전과 같이 담보유형별로 정해진 금리를 적용을 받는다.	소득입증서류를 제출하지 않은 고객은 종전과 같이 담보유형별로 정해진 금리를 적용을 받는다.
오늘 제 생일인데 저희 집에 놀러 오세요.	오늘 제 생일인데 우리 집에 놀러 오세요.
지하철 노조는 지하철 연장 운행에 대해 연장 운행을 평일에만 제안한다고 지하철 공사와 타협을 끌어냈다.	지하철 노조는 지하철 연장 운행에 대해 연장운행을 평일에만 제한한다고 지하철 공사와 타협을 끌어냈다.
그가 국회 의원에 당선되니 그 때 나이가 서른셋이었다.	그가 국회의원에 당선되니 그때 나이가 서른셋이었다.
도의원은 시의원가 왜 도시를 발전시켜야 하는 지에 대해 시민들에게 양해를 구하자고 결말을 지었다.	도 의원은 시 의원과 왜 도시를 발전시켜야 하는지에 대해 시민들에게 양해를 구하자고 결말을 지었다.
이번 주말에는 저희가 할머니댁에 갈게요.	이번 주말에는 저희가 할머니 댁에 갈게요.
학생식당은 음식이 싸고 아주머니들이 친절합니다.	학생 식당은 음식이 싸고 아주머니들이 친절합니다.
지금 출발 안하면 약속시간에 늦잖아.	지금 출발 안 하면 약속 시간에 늦잖아.
봄은 또 여름 같이 덥고요.	봄은 또 여름같이 덥고요.
그 사람이 이번 회의에서 다음 선거를 준바하는 데 대해 우리측 후보자로 지명을 받게 되었다.	그 사람이 이번 회의에서 다음 선거를 준비하는 데 대해 우리측 후보자로 지명을 받게 되었다.
어머니가 아픈 동생을 업고서 병원까지 뛰어갔어여.	어머니가 아픈 동생을 업고서 병원까지 뛰어갔어요.
저 의자에 앉아가지고 책을 읽읍시다.	저 의자에 앉아 가지고 책을 읽읍시다.
대장부는 도와 같은 돈호한 입장에 서지만 예의와 같은 경박한 입장에 서지는 않아야 한다.	대장부는 도와 같은 돈후한 입장에 서지만 예의와 같은 경박한 입장에 서지는 않아야 한다.
낮인데도 그 방은 왜그리 캄캄하다니.	낮인데도 그 방은 왜 그렇게 캄캄하다니.
이사람은 노래면 노래 춤이면 춤 연기면 연기 어느 것 하나 못하는게 없어요.	이 사람은 노래면 노래 춤이면 춤 연기면 연기 어느 것 하나 못 하는 게 없어요.
들어갈 수 없을 만큼 물이 차여.	들어갈 수 없을 만큼 물이 차요.
기분좋은 날의 데이트.	기분 좋은 날의 데이트.
쓰레기를 주은 다음에 쓰레기통에 버려주세요.	쓰레기를 주운 다음에 쓰레기통에 버려 주세요.
장군은 부하들에게 누가 그사건에 책임을 질지에 대해 자신이 책임을 지고 물러나겠다고 그의 거취를 표명했다.	장군은 부하들에게 누가 그 사건에 책임을 질지에 대해 자신이 책임을 지고 물러나겠다고 그의 거취를 표명했다.
건강을 위해서 술을 마시지않아야되요.	건강을 위해서 술을 마시지 않아야 돼요.
배가 고플텐데 이 초콜릿 좀 드세요.	배가 고플 텐데 이 초콜릿 좀 드세요.
남자는 항상 퉁명스럽고 귀찮은 듯이 지껄였는데 예의라고는 조금치고 없이 말을 함부로 내갈겼다.	남자는 항상 퉁명스럽고 귀찮은 듯이 지껄였는데 예의라고는 조금치도 없이 말을 함부로 내갈겼다.
제가 할머니께 노래를 불러드릴게요.	제가 할머니께 노래를 불러 드릴게요.
1등을 했다고 좋아만 할때가 아니에요.	1등을 했다고 좋아만 할 때가 아니에요.
저기 문 앞에 떨어진 것이 뭐에여.	저기 문 앞에 떨어진 것이 뭐예요.
내가 영어를 잘했으면 앤디씨와 이야기를 할수 있었을텐데.	내가 영어를 잘했으면 앤디 씨와 이야기를 할 수 있었을 텐데.
경찰은 사용자 측에게서 노조의 파업을 어떻게 막을 것인가에 대해 원천 봉쇄해달라고 요청을 받았다.	경찰은 사용자측에게서 노조의 파업을 어떻게 막을 것인가에 대해 원청 봉쇄해 달라고 요청을 받았다.
왕밍씨는 사진을 잘 찍어줘요.	왕밍 씨는 사진을 잘 찍어 줘요.
나는 유미 씨의 남자친구를 좋게 생각하지 않아요.	나는 유미 씨의 남자 친구를 좋게 생각하지 않아요.
덩굴 식물이 다른 식물의 줄기로 눈을 옮기며 더불살이를 하는 모습을 직접 관찰할 수 있다.	덩굴식물이 다른 식물의 줄기로 눈을 옮기며 더부살이를 하고 있는 모습을 직접 관찰할 수 있다.
제주도에 가니 바다도 아름답고 사람들도 친절 했어요.	제주도에 가니 바다도 아름답고 사람들도 친절했어요.
저도 여기에 온 지 얼마 안됐어요.	저도 여기에 온 지 얼마 안 됐어요.
커피를 마신지 30분이됐어여.	커피를 마신 지 30분이 됐어요.
한국에 살아보니 한국 사람들을 더 잘 이해할 수 있게 되었어요.	한국에 살아 보니 한국 사람들을 더 잘 이해할 수 있게 되었어요.
가방에 무거운 것이 많이 들어있어요.	가방에 무거운 것이 많이 들어 있어요.
스테인드글라스는 특히 고딕 건축에서 많이 쓰였는데 자연채광을 이용한 유리벽화라고 할 수 있다.	스테인드글라스는 특히 고딕 건축에서 많이 쓰였는데 자연 채광을 이용한 유리 벽화라고 할 수 있다.
그 사람 지금까지 발바닥에 흙 안묻히고 살아왔는데 이제와서 그런일을 하려니 얼마나 힘이 들겠어.	그 사람 지금까지 발바닥에 흙 안 묻히고 살아왔는데 이제 와서 그런 일을 하려니 얼마나 힘이 들겠어.
남자는 마음이 넓고 봐야한다.	남자는 마음이 넓고 봐야 한다.
그래 잘지냈니? 부모님은 안녕하시고?	그래 잘 지냈니? 부모님은 안녕하시고?
대략 5 km 정도 노를 저어갔으나 이미 배가 난파당하기 전부터 완전히 지쳐있던 우리는 도저히 더 이상은 저을 수가 없었다.	대략 5km 정도 노를 저어 갔으나 이미 배가 난파당하기 전부터 완전히 지쳐 있던 우리는 도저히 더 이상은 저을 수가 없었다.
잠깐만 기다려요 유미씨가 아직 안 왔어요.	잠깐만 기다려요 유미 씨가 아직 안 왔어요.
그와 헤어지고나서부터 불행해졌다.	그와 헤어지고 나서부터 불행해졌다.
북한은 미국이 침략적인 정책을취하고 있으며 한반도의 분단을 연구화하려 한다고 비난하였다.	북한은 미국이 침략적인 정책을 취하고 있으며 한반도의 분단을 영구화하려 한다고 비난하였다.
부모님께서는 1년에 두번 해외여행을 가세요.	부모님께서는 1 년에 두 번 해외여행을 가세요.
운동을 잘 못하는 것은 열심히 연습하지 않은 탓이다.	운동을 잘 못 하는 것은 열심히 연습하지 않는 탓이다.
커피를 마시지말고 차를 드세요.	커피를 마시지 말고 차를 드세요.
아니요. 저는 아직 부모님한테서 용돈을 받아요.	아니요. 저는 아직 부모님께 용돈을 받아요.
세비가 적다고 죽는 시늉하는 국회의원들 가운데는 꽃값만 천만원가까이 쓰고 접대비가 수억에 달하는 사람들도 있다고 한다.	세비가 적다고 죽는시늉하는 국회의원들 가운데는 꽃값만 천만 원 가깝게 쓰고 접대비가 수억에 달하는 사람들도 있다고 한다.
우리 가족은 내년에 제주도에 집을 지을 예정이에여.	우리 가족은 내년에 제주도에 집을 지을 예정이에요.
실례지만 지금 어디계세요?	실례지만 지금 어디 계세요?
디가 꽃을 사다가 여자 친구에게 주었세요.	디가 꽃을 사다가 여자 친구에게 주었어요.
시험이 끝나는대로 자고싶어여.	시험이 끝나는 대로 자고 싶어요.
나한테 우는 소리 해 봤자 소용없다니까 그러네. 다 위에서 결정한 일이고 나는 따르기만 할 뿐이야.	나한테 우는 소리 해 봤자 소용 없다니까 그러네. 다 위에서 결정한 일이고 나는 따르기만 할 뿐이야.
부장님만 아니면 이미 회사를 그만 두었을거에여.	부장님만 아니면 이미 회사를 그만두었을 거예요.
짐승도 부모의 은혜를 알거든 하물며 사람은 말해서 무엇 하랴?	짐승도 부모의 은혜를 알거든 하물며 사람은 말해서 무엇하랴?
시간이 많을때 전화해 주세요.	시간이 많을 때 전화해 주세요.
여기에서 잠시 기다리십쇼.	여기에서 잠시 기다리십시오.
공부능률을 올리는 좋은 방법은 창문을 활짝 열어젖히고 폐부위까지 산소를 들이마시는 것이다.	공부 능률을 올리는 좋은 방법은 창문을 활짝 열어젖히고 폐부에까지 산소를 들이마시는 것이다.
